player_name,slug,headshot_url,local_file_needed
Darryn Peterson,darryn-peterson,/headshots/darryn-peterson.jpg,frontend-career-outcomes/public/headshots/darryn-peterson.jpg
AJ Dybantsa,aj-dybantsa,/headshots/aj-dybantsa.jpg,frontend-career-outcomes/public/headshots/aj-dybantsa.jpg
Cameron Boozer,cameron-boozer,/headshots/cameron-boozer.jpg,frontend-career-outcomes/public/headshots/cameron-boozer.jpg
Caleb Wilson,caleb-wilson,/headshots/caleb-wilson.jpg,frontend-career-outcomes/public/headshots/caleb-wilson.jpg
Keaton Wagler,keaton-wagler,/headshots/keaton-wagler.jpg,frontend-career-outcomes/public/headshots/keaton-wagler.jpg
Darius Acuff Jr.,darius-acuff-jr,/headshots/darius-acuff-jr.jpg,frontend-career-outcomes/public/headshots/darius-acuff-jr.jpg
Mikel Brown Jr.,mikel-brown-jr,/headshots/mikel-brown-jr.jpg,frontend-career-outcomes/public/headshots/mikel-brown-jr.jpg
Kingston Flemings,kingston-flemings,/headshots/kingston-flemings.jpg,frontend-career-outcomes/public/headshots/kingston-flemings.jpg
Nate Ament,nate-ament,/headshots/nate-ament.jpg,frontend-career-outcomes/public/headshots/nate-ament.jpg
Aday Mara,aday-mara,/headshots/aday-mara.jpg,frontend-career-outcomes/public/headshots/aday-mara.jpg
Brayden Burries,brayden-burries,/headshots/brayden-burries.jpg,frontend-career-outcomes/public/headshots/brayden-burries.jpg
Yaxel Lendeborg,yaxel-lendeborg,/headshots/yaxel-lendeborg.jpg,frontend-career-outcomes/public/headshots/yaxel-lendeborg.jpg
Hannes Steinbach,hannes-steinbach,/headshots/hannes-steinbach.jpg,frontend-career-outcomes/public/headshots/hannes-steinbach.jpg
Karim Lopez,karim-lopez,/headshots/karim-lopez.jpg,frontend-career-outcomes/public/headshots/karim-lopez.jpg
Morez Johnson Jr.,morez-johnson-jr,/headshots/morez-johnson-jr.jpg,frontend-career-outcomes/public/headshots/morez-johnson-jr.jpg
Christian Anderson Jr.,christian-anderson-jr,/headshots/christian-anderson-jr.jpg,frontend-career-outcomes/public/headshots/christian-anderson-jr.jpg
Allen Graves,allen-graves,/headshots/allen-graves.jpg,frontend-career-outcomes/public/headshots/allen-graves.jpg
Labaron Philon Jr.,labaron-philon-jr,/headshots/labaron-philon-jr.jpg,frontend-career-outcomes/public/headshots/labaron-philon-jr.jpg
Chris Cenac Jr.,chris-cenac-jr,/headshots/chris-cenac-jr.jpg,frontend-career-outcomes/public/headshots/chris-cenac-jr.jpg
Bennett Stirtz,bennett-stirtz,/headshots/bennett-stirtz.jpg,frontend-career-outcomes/public/headshots/bennett-stirtz.jpg
Cameron Carr,cameron-carr,/headshots/cameron-carr.jpg,frontend-career-outcomes/public/headshots/cameron-carr.jpg
Jayden Quaintance,jayden-quaintance,/headshots/jayden-quaintance.jpg,frontend-career-outcomes/public/headshots/jayden-quaintance.jpg
Dailyn Swain,dailyn-swain,/headshots/dailyn-swain.jpg,frontend-career-outcomes/public/headshots/dailyn-swain.jpg
Ebuka Okorie,ebuka-okorie,/headshots/ebuka-okorie.jpg,frontend-career-outcomes/public/headshots/ebuka-okorie.jpg
Isaiah Evans,isaiah-evans,/headshots/isaiah-evans.jpg,frontend-career-outcomes/public/headshots/isaiah-evans.jpg
Zuby Ejiofor,zuby-ejiofor,/headshots/zuby-ejiofor.jpg,frontend-career-outcomes/public/headshots/zuby-ejiofor.jpg
Koa Peat,koa-peat,/headshots/koa-peat.jpg,frontend-career-outcomes/public/headshots/koa-peat.jpg
Henri Veesaar,henri-veesaar,/headshots/henri-veesaar.jpg,frontend-career-outcomes/public/headshots/henri-veesaar.jpg
Meleek Thomas,meleek-thomas,/headshots/meleek-thomas.jpg,frontend-career-outcomes/public/headshots/meleek-thomas.jpg
Sergio de Larrea,sergio-de-larrea,/headshots/sergio-de-larrea.jpg,frontend-career-outcomes/public/headshots/sergio-de-larrea.jpg
Alex Karaban,alex-karaban,/headshots/alex-karaban.jpg,frontend-career-outcomes/public/headshots/alex-karaban.jpg
Tarris Reed Jr.,tarris-reed-jr,/headshots/tarris-reed-jr.jpg,frontend-career-outcomes/public/headshots/tarris-reed-jr.jpg
Joshua Jefferson,joshua-jefferson,/headshots/joshua-jefferson.jpg,frontend-career-outcomes/public/headshots/joshua-jefferson.jpg
Baba Miller,baba-miller,/headshots/baba-miller.jpg,frontend-career-outcomes/public/headshots/baba-miller.jpg
Ryan Conwell,ryan-conwell,/headshots/ryan-conwell.jpg,frontend-career-outcomes/public/headshots/ryan-conwell.jpg
Jack Kayil,jack-kayil,/headshots/jack-kayil.jpg,frontend-career-outcomes/public/headshots/jack-kayil.jpg
Richie Saunders,richie-saunders,/headshots/richie-saunders.jpg,frontend-career-outcomes/public/headshots/richie-saunders.jpg
Emanuel Sharp,emanuel-sharp,/headshots/emanuel-sharp.jpg,frontend-career-outcomes/public/headshots/emanuel-sharp.jpg
Braden Smith,braden-smith,/headshots/braden-smith.jpg,frontend-career-outcomes/public/headshots/braden-smith.jpg
Dillon Mitchell,dillon-mitchell,/headshots/dillon-mitchell.jpg,frontend-career-outcomes/public/headshots/dillon-mitchell.jpg
Trevon Brazile,trevon-brazile,/headshots/trevon-brazile.jpg,frontend-career-outcomes/public/headshots/trevon-brazile.jpg
Felix Okpara,felix-okpara,/headshots/felix-okpara.jpg,frontend-career-outcomes/public/headshots/felix-okpara.jpg
Ja'Kobi Gillespie,ja-kobi-gillespie,/headshots/ja-kobi-gillespie.jpg,frontend-career-outcomes/public/headshots/ja-kobi-gillespie.jpg
Jaden Bradley,jaden-bradley,/headshots/jaden-bradley.jpg,frontend-career-outcomes/public/headshots/jaden-bradley.jpg
Izaiyah Nelson,izaiyah-nelson,/headshots/izaiyah-nelson.jpg,frontend-career-outcomes/public/headshots/izaiyah-nelson.jpg
Bryce Hopkins,bryce-hopkins,/headshots/bryce-hopkins.jpg,frontend-career-outcomes/public/headshots/bryce-hopkins.jpg
Tobe Awaka,tobe-awaka,/headshots/tobe-awaka.jpg,frontend-career-outcomes/public/headshots/tobe-awaka.jpg
Ugonna Onyenso,ugonna-onyenso,/headshots/ugonna-onyenso.jpg,frontend-career-outcomes/public/headshots/ugonna-onyenso.jpg
Bruce Thornton,bruce-thornton,/headshots/bruce-thornton.jpg,frontend-career-outcomes/public/headshots/bruce-thornton.jpg
Tyler Nickel,tyler-nickel,/headshots/tyler-nickel.jpg,frontend-career-outcomes/public/headshots/tyler-nickel.jpg
Tobi Lawal,tobi-lawal,/headshots/tobi-lawal.jpg,frontend-career-outcomes/public/headshots/tobi-lawal.jpg
Aaron Nkrumah,aaron-nkrumah,/headshots/aaron-nkrumah.jpg,frontend-career-outcomes/public/headshots/aaron-nkrumah.jpg
Nick Martinelli,nick-martinelli,/headshots/nick-martinelli.jpg,frontend-career-outcomes/public/headshots/nick-martinelli.jpg
Vsevolod Ishchenko,vsevolod-ishchenko,/headshots/vsevolod-ishchenko.jpg,frontend-career-outcomes/public/headshots/vsevolod-ishchenko.jpg
Nate Bittle,nate-bittle,/headshots/nate-bittle.jpg,frontend-career-outcomes/public/headshots/nate-bittle.jpg
Maliq Brown,maliq-brown,/headshots/maliq-brown.jpg,frontend-career-outcomes/public/headshots/maliq-brown.jpg
Milos Uzan,milos-uzan,/headshots/milos-uzan.jpg,frontend-career-outcomes/public/headshots/milos-uzan.jpg
Noam Yaacov,noam-yaacov,/headshots/noam-yaacov.jpg,frontend-career-outcomes/public/headshots/noam-yaacov.jpg
Oscar Cluff,oscar-cluff,/headshots/oscar-cluff.jpg,frontend-career-outcomes/public/headshots/oscar-cluff.jpg
Otega Oweh,otega-oweh,/headshots/otega-oweh.jpg,frontend-career-outcomes/public/headshots/otega-oweh.jpg
Kylan Boswell,kylan-boswell,/headshots/kylan-boswell.jpg,frontend-career-outcomes/public/headshots/kylan-boswell.jpg
Tyler Bilodeau,tyler-bilodeau,/headshots/tyler-bilodeau.jpg,frontend-career-outcomes/public/headshots/tyler-bilodeau.jpg
Michael Ajayi,michael-ajayi,/headshots/michael-ajayi.jpg,frontend-career-outcomes/public/headshots/michael-ajayi.jpg
Jaden Henley,jaden-henley,/headshots/jaden-henley.jpg,frontend-career-outcomes/public/headshots/jaden-henley.jpg
Nick Boyd,nick-boyd,/headshots/nick-boyd.jpg,frontend-career-outcomes/public/headshots/nick-boyd.jpg
Malique Lewis,malique-lewis,/headshots/malique-lewis.jpg,frontend-career-outcomes/public/headshots/malique-lewis.jpg
Quadir Copeland,quadir-copeland,/headshots/quadir-copeland.jpg,frontend-career-outcomes/public/headshots/quadir-copeland.jpg
Rafael Castro,rafael-castro,/headshots/rafael-castro.jpg,frontend-career-outcomes/public/headshots/rafael-castro.jpg
Graham Ike,graham-ike,/headshots/graham-ike.jpg,frontend-career-outcomes/public/headshots/graham-ike.jpg
Jaron Pierre Jr.,jaron-pierre-jr,/headshots/jaron-pierre-jr.jpg,frontend-career-outcomes/public/headshots/jaron-pierre-jr.jpg
Tre Donaldson,tre-donaldson,/headshots/tre-donaldson.jpg,frontend-career-outcomes/public/headshots/tre-donaldson.jpg
Ernest Udeh Jr.,ernest-udeh-jr,/headshots/ernest-udeh-jr.jpg,frontend-career-outcomes/public/headshots/ernest-udeh-jr.jpg
Mark Mitchell,mark-mitchell,/headshots/mark-mitchell.jpg,frontend-career-outcomes/public/headshots/mark-mitchell.jpg
Tamin Lipsey,tamin-lipsey,/headshots/tamin-lipsey.jpg,frontend-career-outcomes/public/headshots/tamin-lipsey.jpg
Keyshawn Hall,keyshawn-hall,/headshots/keyshawn-hall.jpg,frontend-career-outcomes/public/headshots/keyshawn-hall.jpg
Darrion Williams,darrion-williams,/headshots/darrion-williams.jpg,frontend-career-outcomes/public/headshots/darrion-williams.jpg
Trey Kaufman-Renn,trey-kaufman-renn,/headshots/trey-kaufman-renn.jpg,frontend-career-outcomes/public/headshots/trey-kaufman-renn.jpg
Seth Trimble,seth-trimble,/headshots/seth-trimble.jpg,frontend-career-outcomes/public/headshots/seth-trimble.jpg
Elijah Mahi,elijah-mahi,/headshots/elijah-mahi.jpg,frontend-career-outcomes/public/headshots/elijah-mahi.jpg
Lamar Wilkerson,lamar-wilkerson,/headshots/lamar-wilkerson.jpg,frontend-career-outcomes/public/headshots/lamar-wilkerson.jpg
Peter Suder,peter-suder,/headshots/peter-suder.jpg,frontend-career-outcomes/public/headshots/peter-suder.jpg
